league,match_seq,cum_pnl
"Germany, 2. Bundesliga",4,400.0
"Germany, 2. Bundesliga",5,500.0
"Germany, 2. Bundesliga",6,260.0
"Germany, 2. Bundesliga",7,360.0
"Germany, 2. Bundesliga",8,460.0
"Germany, 2. Bundesliga",9,560.0
"Germany, 2. Bundesliga",10,660.0
"Germany, 2. Bundesliga",11,760.0
"Germany, 2. Bundesliga",12,860.0
"Germany, 2. Bundesliga",13,960.0
"Germany, 2. Bundesliga",14,1060.0
"Germany, 2. Bundesliga",15,1160.0
"Germany, 2. Bundesliga",16,920.0
"Germany, 2. Bundesliga",17,670.0
"Germany, 2. Bundesliga",18,770.0
"Germany, 2. Bundesliga",19,870.0
"Germany, 2. Bundesliga",20,970.0
"Germany, 2. Bundesliga",21,1070.0
"Germany, 2. Bundesliga",22,1170.0
"Germany, 2. Bundesliga",23,1270.0
"Germany, 2. Bundesliga",24,1010.0
"Germany, 2. Bundesliga",25,1110.0
"Germany, 2. Bundesliga",26,1210.0
"Germany, 2. Bundesliga",27,1310.0
"Germany, 2. Bundesliga",28,1410.0
"Germany, 2. Bundesliga",29,1510.0
"Germany, 2. Bundesliga",30,1610.0
"Germany, 2. Bundesliga",31,1370.0
"Germany, 2. Bundesliga",32,1470.0
"Germany, 2. Bundesliga",33,1570.0
"Germany, 2. Bundesliga",34,1310.0
"Germany, 2. Bundesliga",35,1410.0
"Germany, 2. Bundesliga",36,1140.0
"Germany, 2. Bundesliga",37,1240.0
"Germany, 2. Bundesliga",38,1340.0
"Germany, 2. Bundesliga",39,1060.0
"Germany, 2. Bundesliga",40,1160.0
"Germany, 2. Bundesliga",41,1260.0
"Germany, 3. Liga",1,-229.99999999999997
"Germany, 3. Liga",2,-455.0
"Germany, 3. Liga",3,-355.0
"Germany, 3. Liga",4,-645.0
"Germany, 3. Liga",5,-545.0
"Germany, 3. Liga",6,-445.0
"Germany, 3. Liga",7,-345.0
"Germany, 3. Liga",8,-245.0
"Germany, 3. Liga",9,-145.0
"Germany, 3. Liga",10,-45.0
"Germany, 3. Liga",11,55.0
"Germany, 3. Liga",12,155.0
"Germany, 3. Liga",13,255.0
"Germany, 3. Liga",14,355.0
"Germany, 3. Liga",15,455.0
"Germany, 3. Liga",16,255.0
"Germany, 3. Liga",17,355.0
"Germany, 3. Liga",18,455.0
"Germany, 3. Liga",19,215.0
"Germany, 3. Liga",20,315.0
"Germany, 3. Liga",21,415.0
"Germany, 3. Liga",22,515.0
"Germany, 3. Liga",23,615.0
"Germany, 3. Liga",24,715.0
"Germany, 3. Liga",25,815.0
"Germany, 3. Liga",26,915.0
"Germany, 3. Liga",27,655.0
"Germany, 3. Liga",28,445.0
"Germany, 3. Liga",29,545.0
"Germany, 3. Liga",30,315.0
"Germany, 3. Liga",31,85.00000000000003
"Germany, 3. Liga",32,185.00000000000003
"Germany, 3. Liga",33,285.0
"Germany, 3. Liga",34,15.0
"Germany, 3. Liga",35,115.0
"Germany, 3. Liga",36,-114.99999999999997
"Germany, 3. Liga",37,-14.999999999999972
"Germany, 3. Liga",38,-244.99999999999994
"Germany, 3. Liga",39,-144.99999999999994
"Germany, 3. Liga",40,-44.99999999999994
"Germany, 3. Liga",41,55.00000000000006
"Germany, 3. Liga",42,155.00000000000006
"Germany, 3. Liga",43,255.00000000000006
"Germany, 3. Liga",44,355.00000000000006
"Germany, 3. Liga",45,455.00000000000006
"Germany, Bundesliga",1,100.0
"Germany, Bundesliga",2,200.0
"Germany, Bundesliga",3,300.0
"Germany, Bundesliga",4,400.0
